reduced_formula,likely_mpid,expt_gap_ev,n_measurements,gap_range_ev,is_metal_measured,selection_stratum,selection_role,hubbard_policy_differs,hubbard_explanation
Ag2Mo(I2O7)2,mp-1203404,3.06,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
AlV(TeO4)2,mp-1194859,2.9,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
B2Mo(PbO2)6,mp-1196917,2.9,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Ba2V2Te2O11,mp-1204192,3.16,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Ba2V2ZnO8,mp-556688,3.48,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Ba3V2(SeO4)4,mp-1200758,2.87,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
BaCuTeF,mp-13287,2.3,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,False,"Neither database applies a Hubbard U correction to this composition, so +U is not an available explanation for any disagreement between them."
BaTeMo2O9,mp-1203413,3.12,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
BaV2SeO8,mp-1200210,2.13,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for V (Materials Project 3.25 eV, OQMD 3.1 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Bi2(MoO4)3,mp-23388,2.9,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Bi2Mo2Se2O13,mp-1200193,3.15,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
CdCu(SeO3)2,mp-1195655,3.33,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,OQMD applies +U to Cu (U minus J = 4.0 eV) and Materials Project does not.
Ce2Fe(SeO)2,mp-1078159,0.64,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Fe (Materials Project 5.3 eV, OQMD 4.0 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Ce3MoO7,mp-639904,2.0,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
CeBiW2O9,mp-1204806,2.34,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to W (U = 6.2 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
CeMoO4F,mp-1192442,2.52,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Materials Project applies +U to Mo (U = 4.38 eV) and OQMD does not. Materials Project applies +U to both oxides and fluorides, while OQMD applies it only to compounds containing oxygen, and the two databases cover different element sets."
Co2Te3O8,mp-18855,3.6,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Co (Materials Project 3.32 eV, OQMD 3.3 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
Cr2O3,mp-19399,3.4,1,0.0,False,A_correlated_oxide_or_fluoride,gapped semiconductor or insulator,True,"Both databases apply +U but with different parameters for Cr (Materials Project 3.7 eV, OQMD 3.5 eV). Note that Materials Project quotes U while OQMD quotes U minus J in the Dudarev scheme, so the values are not directly interchangeable even where they look similar."
